update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,1800,526.8733381998054,4,0.38407999873161314,0.4125643809810483,0.0,0.9567999839782715,53.0,59.21992907797171,4.0,179.0,1.098610371351242,0.0,-0.007720681217809518,0.0014501669987415273,5.5362802683779315e-06,0.38407999873161314,0.4125643809810483,0.0,0.9567999839782715
10,3600,523.326750517279,7,0.2826399996876717,0.40200398782976643,0.0,0.9495999813079834,157.1,102.41235277055205,14.0,250.0,1.0986114343007407,0.0,0.0,0.0,3.225011664823356e-06,0.2826399996876717,0.40200398782976643,0.0,0.9495999813079834
15,5400,542.9716936861065,10,0.20496000051498414,0.36653723284362655,0.0,0.9711999893188477,148.0,104.51889781278791,8.0,250.0,1.0984055697917938,0.0,-0.014240807387977839,0.00938292290084064,0.005642701923119758,0.20496000051498414,0.36653723284362655,0.0,0.9711999893188477
20,7200,531.5027811550259,14,0.16579999923706054,0.33764289804092307,0.0,0.9711999893188477,130.9,103.01208666947777,7.0,250.0,1.0965756078561149,0.0,0.0,0.0,0.0006428715323228912,0.16579999923706054,0.33764289804092307,0.0,0.9711999893188477
25,9000,504.36269635313516,17,0.25240000188350675,0.3397044358848693,0.0,0.9459999799728394,111.0,86.3898142144084,7.0,250.0,1.0973409513632455,0.0,-0.012658485677093267,0.009510880646606287,0.0016851315695573816,0.25240000188350675,0.3397044358848693,0.0,0.9459999799728394
30,10800,522.5389460278789,21,0.3333999991416931,0.421831859529142,0.0,0.9891999959945679,115.5,105.96060588728247,3.0,250.0,1.0960908432801564,0.0,-0.008527773121992746,0.007064697720731298,0.0030446131692635405,0.3333999991416931,0.421831859529142,0.0,0.9891999959945679
35,12600,521.2472102847245,24,0.027639999985694885,0.08291999995708466,0.0,0.27639999985694885,149.8,100.07577129355536,7.0,250.0,1.0949597458044686,0.0,0.0,0.0,0.0007368248631759019,0.027639999985694885,0.08291999995708466,0.0,0.27639999985694885
40,14400,478.4613688129071,28,0.2308799982070923,0.383642403863283,0.0,0.9891999959945679,149.5,109.71257904178536,3.0,250.0,1.0951059957345328,0.0,0.0,0.0,0.0007561882569436289,0.2308799982070923,0.383642403863283,0.0,0.9891999959945679
45,16200,518.4274299181097,32,0.29768000096082686,0.3729532646719346,0.0,0.9639999866485596,123.8,93.92848343287568,7.0,250.0,1.0903469920158386,0.0,-0.006223954551387578,0.002724026227951981,0.002455307815283407,0.29768000096082686,0.3729532646719346,0.0,0.9639999866485596
50,18000,526.0017062533943,35,0.23555999994277954,0.3738367744394954,0.0,0.9387999773025513,101.9,103.11202645666508,3.0,250.0,1.0894765257835388,0.0,0.0,0.0,0.0012473761425354384,0.23555999994277954,0.3738367744394954,0.0,0.9387999773025513
55,19800,554.5160565316834,39,0.42323999404907225,0.398637170233372,0.0,0.9567999839782715,82.0,82.96746350226697,12.0,250.0,1.083508918682734,0.0,-0.03378772363066673,0.020301260830213625,0.006860470806694405,0.42323999404907225,0.398637170233372,0.0,0.9567999839782715
60,21600,478.75415753251355,42,0.0947999969124794,0.1829011457635159,0.0,0.6039999723434448,176.5,87.32840316872856,12.0,250.0,1.0858223537604013,0.0,-0.003541628636109332,0.00035381780374639976,0.0010609901561348617,0.0947999969124794,0.1829011457635159,0.0,0.6039999723434448
65,23400,509.51541436969313,46,0.12107999920845032,0.18907150263349562,0.0,0.5031999945640564,155.7,85.91513254369104,3.0,250.0,1.0884215235710144,0.0,0.0,0.0,0.001282255408999004,0.12107999920845032,0.18907150263349562,0.0,0.5031999945640564
70,25200,486.5623540868256,49,0.37067999243736266,0.3674323811288459,0.0,0.9495999813079834,133.1,83.27598693501027,14.0,250.0,1.0924185911814372,0.0,-0.1608377993106842,0.09593961217130223,0.027239061893598118,0.37067999243736266,0.3674323811288459,0.0,0.9495999813079834
75,27000,523.5517553440475,53,0.12727999687194824,0.28901209267868744,0.0,0.9423999786376953,161.5,86.84037079607617,16.0,250.0,1.0935869018236795,0.0,-0.008466976384321848,0.006957972577462594,0.001334358401614957,0.12727999687194824,0.28901209267868744,0.0,0.9423999786376953
80,28800,516.3766789643668,57,0.3365599974989891,0.40600358999484576,0.0,0.9783999919891357,120.9,105.53714985728958,6.0,250.0,1.0951080123583474,0.0,-0.015621203773965439,0.011999612674117088,0.0025145571930284974,0.3365599974989891,0.40600358999484576,0.0,0.9783999919891357
85,30600,547.044084172253,60,0.23123999834060668,0.37237673038554364,0.0,0.9891999959945679,140.4,87.85123789679915,3.0,250.0,1.095589260260264,0.0,-0.004850755445659161,0.004530653978387515,0.0023069185821084155,0.23123999834060668,0.37237673038554364,0.0,0.9891999959945679
90,32400,506.1561849161077,64,0.3847999945282936,0.4468241657676053,0.0,0.9819999933242798,141.7,109.04132244245756,5.0,250.0,1.0956143339474995,0.0,-0.003562325805736085,0.0003148059452845094,0.00048432247552805967,0.3847999945282936,0.4468241657676053,0.0,0.9819999933242798
95,34200,498.65785212615344,67,0.3956000030040741,0.42219832547258274,0.0,0.9423999786376953,105.4,104.93731462163495,5.0,250.0,1.0947343806425731,0.0,-0.09475897500912348,0.03593812991554539,0.05376948814817409,0.3956000030040741,0.42219832547258274,0.0,0.9423999786376953
100,36000,505.73625942258394,71,0.3408799946308136,0.365691701035342,0.0,0.9351999759674072,108.7,85.98959239349841,13.0,250.0,1.0968371133009591,0.0,-0.009204433066770434,0.0021502630164225898,0.0019493065734486953,0.3408799946308136,0.365691701035342,0.0,0.9351999759674072
105,37800,489.55714992978994,74,0.34095999598503113,0.4245358902688707,0.0,0.9531999826431274,116.1,96.69276084588752,5.0,250.0,1.095714489618937,0.0,-0.3289361943801244,0.21171321347355843,0.05535216690823035,0.34095999598503113,0.4245358902688707,0.0,0.9531999826431274
110,39600,540.7140672728119,78,0.6307999968528748,0.3703603419892217,0.0,0.9819999933242798,49.1,57.28778229256218,5.0,165.0,1.0954840381940205,0.0,-0.029003686892489593,0.01899866821865241,0.0036650873305139548,0.6307999968528748,0.3703603419892217,0.0,0.9819999933242798
115,41400,533.7090771048105,81,0.36003999710083007,0.441683591297519,0.0,0.9531999826431274,118.1,103.03732333479941,8.0,250.0,1.0918268163998923,0.0,-0.129533048098286,0.06291274602214496,0.03216352232860138,0.36003999710083007,0.441683591297519,0.0,0.9531999826431274
120,43200,504.51621957013776,85,0.40820000171661375,0.43711531704046713,0.0,0.9783999919891357,75.9,93.40176657858245,6.0,250.0,1.0901623666286469,0.0,0.0,0.0,0.001287866583588474,0.40820000171661375,0.43711531704046713,0.0,0.9783999919891357
125,45000,510.2390634535623,88,0.3868800014257431,0.39080023818425413,0.0,0.9675999879837036,101.7,85.5056138507876,4.0,250.0,1.0910597145557404,0.0,-0.01631580696751674,0.012977401337896785,0.003058970002925801,0.3868800014257431,0.39080023818425413,0.0,0.9675999879837036
130,46800,538.3058199937755,92,0.23584000021219254,0.34451376458504157,0.0,0.9747999906539917,151.9,84.78850157892873,7.0,250.0,1.0846023062864938,0.0,-0.002013310557231307,0.00024039982721054307,0.002643049711151689,0.23584000021219254,0.34451376458504157,0.0,0.9747999906539917
135,48600,513.3565360124869,95,0.3606799989938736,0.40717151189392975,0.0,0.9747999906539917,139.1,106.55369538406447,5.0,250.0,1.0830305417378745,0.0,-0.030398834496736526,0.013631997940440973,0.005916857083969453,0.3606799989938736,0.40717151189392975,0.0,0.9747999906539917
140,50400,508.9968852392703,99,0.18595999479293823,0.37194176784219163,0.0,0.9387999773025513,71.6,71.48594267406705,10.0,250.0,1.0899662971496582,0.0,0.0,0.0,0.00115962536247216,0.18595999479293823,0.37194176784219163,0.0,0.9387999773025513
145,52200,551.1387930751289,102,0.3474399983882904,0.42790799600871743,0.0,0.9675999879837036,72.7,90.44561902049209,9.0,250.0,1.0903152028719583,0.0,-0.01978171244263649,0.014496222759286562,0.002682598092103351,0.3474399983882904,0.42790799600871743,0.0,0.9675999879837036
150,54000,507.41452887335754,106,0.2323199987411499,0.3653876282008958,0.0,0.920799970626831,122.2,109.06951911510383,4.0,250.0,1.0902203917503357,0.0,-0.006847724784165621,0.003080725572848072,0.002860489503980822,0.2323199987411499,0.3653876282008958,0.0,0.920799970626831
155,55800,534.0144804112686,109,0.20424000322818756,0.3337162986606808,0.0,0.9783999919891357,124.6,98.60649065857683,4.0,250.0,1.0871867537498474,0.0,-0.009198001430680355,0.0029666662060966096,0.005089366409474534,0.20424000322818756,0.3337162986606808,0.0,0.9783999919891357
160,57600,523.19546613426,113,0.2917199969291687,0.44563389170429446,0.0,0.9783999919891357,100.5,105.24281448155973,5.0,250.0,1.0870848596096039,0.0,-0.022569256369024515,0.01777187796930472,0.008894880505193088,0.2917199969291687,0.44563389170429446,0.0,0.9783999919891357
165,59400,525.806631792796,116,0.15103999972343446,0.30379125395007084,0.0,0.8271999955177307,98.7,80.77382001614137,3.0,250.0,1.0895814299583435,0.0,0.0,0.0,0.00122490617089091,0.15103999972343446,0.30379125395007084,0.0,0.8271999955177307
170,61200,522.0183078987817,120,0.22719999998807908,0.3829682362845105,0.0,0.9855999946594238,152.9,93.72881093879299,4.0,250.0,1.0898192326227822,0.0,-0.006906358350533992,0.0057460660706662265,0.003356528132601644,0.22719999998807908,0.3829682362845105,0.0,0.9855999946594238
175,63000,540.8374378060893,123,0.23015999794006348,0.3818020041551859,0.0,0.9891999959945679,104.1,101.03509291330414,3.0,250.0,1.0876360932985942,0.0,-0.006182221074899037,0.0017709843038270872,0.004937959674039517,0.23015999794006348,0.3818020041551859,0.0,0.9891999959945679
180,64800,514.4856198157876,127,0.12728000283241273,0.2600451598503405,0.0,0.7552000284194946,106.4,88.90466804392219,5.0,250.0,1.0894785523414612,0.0,-0.027388872268299263,0.009258922189474106,0.0058111689118372205,0.12728000283241273,0.2600451598503405,0.0,0.7552000284194946
185,66600,489.87989105485053,131,0.32691999673843386,0.415326143248054,0.0,0.9675999879837036,102.1,88.40186649613231,9.0,250.0,1.0855627258618672,0.0,0.0,0.0,0.0016178517113141179,0.32691999673843386,0.415326143248054,0.0,0.9675999879837036
190,68400,551.3662070577237,134,0.26464000046253205,0.34895914693696983,0.0,0.9639999866485596,157.4,84.35543847316544,10.0,250.0,1.0878517627716064,0.0,-0.011711549169073502,0.006386952164272468,0.006489804121982919,0.26464000046253205,0.34895914693696983,0.0,0.9639999866485596
195,70200,509.9132274231736,137,0.12223999947309494,0.29361788247416215,0.0,0.9747999906539917,166.8,94.61374107390532,7.0,250.0,1.089690407117208,0.0,-0.006006348412483931,0.0008955547915926824,0.00253263546576872,0.12223999947309494,0.29361788247416215,0.0,0.9747999906539917
200,72000,554.6050620609153,141,0.4059600055217743,0.3627262372475065,0.0,0.9028000235557556,133.3,87.6995438984719,27.0,250.0,1.0864704549312592,0.0,-0.010857633237416545,0.007678628821546833,0.003670654249178444,0.4059600055217743,0.3627262372475065,0.0,0.9028000235557556
205,73800,548.8346287718197,144,0.180840003490448,0.3011625780094101,0.0,0.8740000128746033,145.0,81.161567259387,7.0,250.0,1.0837467114130657,0.0,0.0,0.0,0.0016895013153871905,0.180840003490448,0.3011625780094101,0.0,0.8740000128746033
210,75600,511.24382677802,148,0.2285600036382675,0.25384771874893597,0.0,0.7192000150680542,160.1,79.23692321134132,5.0,250.0,1.0771297415097556,0.0,0.0,0.0,0.0022842410280151226,0.2285600036382675,0.25384771874893597,0.0,0.7192000150680542
